Env,Pop,Family,Position,Treatment,Lat,Long,Pair,GH,GH_Block,Roof_Block,Germ,Germ_JD,Hypocotyl(mm),Cotyledon(mm),LeafNum,Date_of_1Meas,Harvest Julian Day,Flowering Time,StemWidth,PlantHeight,NodeNum,Late,Broken,Sex,Dry Biomass,Flower Color,485,530,590,IsBlank,Soy Germ,Stem Colour
Natural,Kakanee,27,2078,Soy,41.15132703,-87.89857297,14,1,B,4,10,191,22.87,9.87,5,199,277,232,3.75,50,13,0,0,M,,0,1362,1084,1972,0,0,0
Agricultural,Weston,36,2079,Control,41.37218297,-83.79889,1,1,C,4,6,187,20.32,7.79,6,199,277,239,9.62,77,24,1,1,M,,0,1334,1046,1858,0,na,
Agricultural,Nunemaker,32,2080,Water,38.988681,-95.215847,16,1,C,4,5,186,30.81,13.21,32,199,277,217,7.74,51,18,0,0,M,4.037,0,58,115,100,1,na,0
Agricultural,Chesterfield,82,2081,Soy,38.66890403,-90.63545798,7,1,F,4,7,188,37.67,9.03,5,199,277,249,3.61,90.5,21,1,0,M,1.474,0,1169,1138,1918,0,0,1
Natural,Knox,97,2082,Soy,41.31732501,-86.746256,15,1,G,4,10,191,8.36,3.66,2,199,277,263,1.98,6.8,7,0,0,NA,,,31,82,70,1,0,
Natural,MarkTwain,19,2083,Control,39.46407096,-91.68243396,10,1,B,4,10,191,18.22,11.43,4,199,277,242,11.27,76.7,20,0,0,F,3.926,1,1681,1399,2466,0,na,0
Agricultural,Mulberry,192,2084,Soy,38.755485,-89.272475,5,2,G,4,7,188,30.1,12.9,10,199,277,242,9.15,59.1,16,0,0,M,3.141,1,2591,2134,4306,0,0,0
Agricultural,Hernan,148,2085,Control,38.63920603,-91.51230698,9,2,D,4,6,187,34.85,8.9,18,199,277,235,8.41,86,24,0,0,F,19.55,1,1701,1521,2739,0,na,1
Natural,Pekin,150,2086,Control,40.57469501,-89.65567603,12,2,D,4,7,188,31.66,9.86,16,199,277,233,9.78,61,12,0,0,M,,,1937,1666,3079,0,na,0
Agricultural,Mulberry,78,2087,Soy,38.755485,-89.272475,5,1,F,4,6,187,44.23,10.69,6,199,277,NA,NA,NA,NA,0,0,NA,,1,32,84,75,1,0,
Natural,Knox,97,2088,Control,41.31732501,-86.746256,15,1,G,4,10,191,17.69,7.32,4,199,277,229,10.05,56.4,24,0,0,M,,0,1056,937,1587,0,na,
Natural,Pontoon,113,2089,Control,38.699066,-90.068054,6,2,B,4,6,187,27.1,11.01,20,199,277,229,9.7,66.4,28,0,0,F,12.009,,1274,1091,1724,0,na,0
Natural,Pontoon,143,2090,Water,38.699066,-90.068054,6,2,D,4,6,187,34.33,12.33,22,199,277,239,10.4,73,34,0,0,M,11.274,1,847,860,1545,0,na,1
Natural,Blanchard,3,2091,Soy,41.03727398,-83.81345096,2,1,A,4,10,191,8.61,6.35,2,199,277,NA,NA,NA,NA,0,0,NA,,,25,66,58,1,0,
Natural,Knox,129,2092,Soy,41.31732501,-86.746256,15,2,B,4,,FALSE,28.2,2.55,2,199,277,NA,NA,NA,NA,0,0,NA,,,25,64,54,1,1,
Natural,FoxRidge,109,2093,Control,39.393248,-88.163216,4,2,A,4,9,190,13.16,4.1,2,199,277,NA,NA,NA,NA,0,0,NA,0.132,,2288,1874,3437,0,na,0
Natural,Keysport,43,2094,Soy,38.732444,-89.277403,5,1,D,4,,FALSE,,,,199,277,NA,NA,NA,NA,0,0,NA,,,24,66,55,1,0,
Natural,MarkTwain,87,2095,Control,39.46407096,-91.68243396,10,1,F,4,5,186,41.42,9.96,18,199,277,232,9.99,80,19,0,0,M,9.647,2,1845,1644,2821,0,na,1
Agricultural,HWY66,94,2096,Soy,40.82949003,-88.66930699,13,1,G,4,,FALSE,8.88,4.84,1,199,277,NA,NA,NA,NA,0,0,NA,,,26,65,55,1,1,0
Natural,Pekin,23,2097,Soy,40.57469501,-89.65567603,12,1,B,4,7,188,24.35,10.74,6,199,277,242,8.07,27,14,0,0,F,0.282,0,2617,1974,3465,0,1,0
Agricultural,Bradley,182,2098,Control,41.16467102,-87.81988903,14,2,F,4,6,187,28.96,13.87,30,199,277,229,8.04,71.5,25,0,0,M,,0,2432,2131,3899,0,na,1
Agricultural,Hernan,18,2099,Water,38.63920603,-91.51230698,9,1,A,4,6,187,29.35,8.23,15,199,277,263,9.95,38,18,0,0,NA,,,1915,1319,2424,0,na,
